date,high,isin,last,low
2020-03-23 20:28:10.417992,161.76,US0846707026,149.28,148.3
2020-03-24 10:35:00.194895,62.11,IE00B3RBWM25,61.93,61.41
2020-03-24 10:35:00.714989,158.56,US0846707026,156.62,155.02
2020-03-24 10:35:02.158052,88.0,US94106L1098,88.0,83.74
2020-03-24 17:16:57.904260,63.74,IE00B3RBWM25,63.64,61.41
2020-03-24 17:16:58.483667,165.54,US0846707026,163.68,155.02
2020-03-24 17:17:00.466585,88.0,US94106L1098,84.77,83.74
2020-03-25 09:28:17.617625,65.75,IE00B3RBWM25,65.75,65.2
2020-03-25 09:28:18.100386,169.9,US0846707026,169.9,167.0
2020-03-25 09:28:19.392315,91.5,US94106L1098,89.5,86.17
2020-03-25 12:02:20.651718,66.41,IE00B3RBWM25,63.87,63.73
2020-03-25 12:02:21.151802,172.0,US0846707026,164.0,163.0
2020-03-25 12:02:22.742381,92.0,US94106L1098,89.49,86.17
2020-03-26 13:59:38.760396,64.41,IE00B3RBWM25,63.88,63.32
2020-03-26 13:59:39.223927,165.16,US0846707026,164.46,162.02
2020-03-26 13:59:40.506104,83.4,US94106L1098,82.82,81.55
2020-03-27 12:04:53.604514,66.33,IE00B3RBWM25,65.52,65.49
2020-03-27 12:04:54.195569,166.28,US0846707026,163.94,163.02
2020-03-27 12:04:55.715117,87.79,US94106L1098,86.99,86.2
2020-03-27 14:57:09.803788,66.33,IE00B3RBWM25,65.1,64.8
2020-03-27 14:57:10.344098,166.28,US0846707026,162.0,161.1
2020-03-27 14:57:11.826118,88.3,US94106L1098,88.3,86.2
2020-03-30 10:29:56.016731,67.06,IE00B3RBWM25,64.05,63.88
2020-03-30 10:29:56.554219,163.98,US0846707026,160.3,160.3
2020-03-30 10:29:57.880372,86.99,US94106L1098,85.27,84.96
2020-03-30 15:12:15.026611,67.06,IE00B3RBWM25,65.61,63.88
2020-03-30 15:12:15.573535,164.5,US0846707026,164.22,160.3
2020-03-30 15:12:16.922301,87.68,US94106L1098,87.68,84.96
2020-03-30 20:25:46.958777,67.06,IE00B3RBWM25,66.19,63.88
2020-03-30 20:25:47.469114,166.14,US0846707026,164.88,160.3
2020-03-30 20:25:49.234167,88.1,US94106L1098,83.8,83.8
2020-03-31 21:09:50.030682,67.54,IE00B3RBWM25,66.55,65.99
2020-03-31 21:09:50.518279,169.96,US0846707026,166.82,164.58
2020-03-31 21:09:52.095603,89.14,US94106L1098,84.88,83.0
2020-04-01 11:07:48.907979,64.77,IE00B3RBWM25,64.72,64.2
2020-04-01 11:07:49.404440,163.8,US0846707026,163.5,161.0
2020-04-01 11:07:51.137195,82.9,US94106L1098,82.5,81.15
2020-04-01 16:03:07.288731,64.89,IE00B3RBWM25,64.52,64.16
2020-04-01 16:03:07.811763,164.62,US0846707026,161.6,161.0
2020-04-01 16:03:09.242785,83.72,US94106L1098,81.0,80.79
2020-04-02 12:13:49.743380,65.15,IE00B3RBWM25,64.79,64.01
2020-04-02 12:13:50.260395,164.88,US0846707026,163.4,162.5
2020-04-02 12:13:51.550226,83.66,US94106L1098,83.33,81.95
2020-04-02 18:01:07.547509,65.67,IE00B3RBWM25,65.44,63.81
2020-04-02 18:01:08.101781,164.88,US0846707026,164.48,160.62
2020-04-02 18:01:09.743763,83.66,US94106L1098,82.73,80.97
2020-04-03 13:15:05.496140,65.49,IE00B3RBWM25,65.31,64.99
2020-04-03 13:15:05.992162,166.48,US0846707026,165.9,163.2
2020-04-03 13:15:07.279629,84.28,US94106L1098,82.75,82.75
2020-04-06 17:00:30.910259,68.22,IE00B3RBWM25,67.7,65.96
2020-04-06 17:00:31.446497,171.9,US0846707026,168.38,167.84
2020-04-06 17:00:32.740065,86.19,US94106L1098,84.5,84.17
2020-04-07 09:20:43.945564,69.71,IE00B3RBWM25,69.45,69.14
2020-04-07 09:20:44.450054,174.7,US0846707026,174.7,172.0
2020-04-07 09:20:45.983225,86.49,US94106L1098,86.46,84.41
2020-04-07 19:29:43.654541,70.46,IE00B3RBWM25,69.87,69.0
2020-04-07 19:29:44.220755,177.0,US0846707026,174.24,171.74
2020-04-07 19:29:45.818794,87.77,US94106L1098,86.44,84.41
2020-04-07 21:25:56.135865,70.46,IE00B3RBWM25,68.7,68.44
2020-04-07 21:25:56.714571,177.0,US0846707026,170.16,170.12
